cluster_id,top_terms,share
5,"the, of, and, in, to, language, that, is, of the, for, as, on",0.15276804484933426
10,"the, of, and, in, to, chinese, of the, china, as, on, is, in the",0.1224013081055828
8,"the, of, and, in, to, of the, that, as, in the, for, is, this",0.11889745386591918
0,"the, of, and, in, to, of the, as, in the, is, that, this, on",0.10651716888577435
6,"the, of, and, in, to, of the, on, for, is, in the, by, as",0.09834150899322588
4,"the, of, and, in, to, for, that, on, is, as, of the, we",0.09413688390562952
3,"the, of, and, in, to, for, with, of the, health, were, is, that",0.08712917542630226
1,"the, of, and, in, to, women, gender, that, of the, as, for, in the",0.08152300864284046
2,"the, of, and, in, to, education, for, students, on, of the, children, school",0.07288016818500351
7,"the, of, and, in, on, to, of the, for, is, with, as, in the",0.043681382854473254
9,"and, materials, journal, the, to energy, technology is, technology, synthesis of, synthesis, so on, to, the properties",0.021723896285914507
